Deal ID,31 August 2016,01 September 2016,09 September 2016,20 September 2016,30 September 2016,03 October 2016,10 October 2016,17 October 2016,24 October 2016,28 October 2016,31 October 2016
DEALBD34," 18,60,000.00 "," 18,78,600.00 "," 19,12,414.80 "," 19,46,838.27 "," 20,05,243.41 "," 21,05,505.59 "," 22,52,890.98 "," 22,64,155.43 "," 22,86,796.99 "," 23,32,532.92 "," 26,82,412.86 "
DEALBD35," 14,09,090.91 "," 14,23,181.82 "," 13,97,564.55 "," 13,72,408.38 "," 13,99,856.55 "," 14,41,852.25 "," 15,86,037.47 "," 15,06,735.60 "," 12,05,388.48 "," 12,23,469.31 "," 12,35,704.00 "
DEALBD36," 3,52,272.73 "," 3,55,795.45 "," 3,49,391.14 "," 3,43,102.10 "," 3,49,964.14 "," 3,60,463.06 "," 3,96,509.37 "," 3,76,683.90 "," 3,01,347.12 "," 3,05,867.33 "," 3,08,926.00 "
DEALBD37,"-8,50,000.00 ",,,,,,,,,,
DEALBD38,"-5,90,909.09 ",,,,,,,,,,
DEALBD39," 77,27,272.73 "," 78,04,545.45 "," 76,64,063.64 "," 75,26,110.49 "," 76,76,632.70 "," 79,06,931.68 "," 86,97,624.85 "," 82,62,743.61 "," 66,10,194.89 "," 67,09,347.81 "," 67,76,441.29 "
DEALBD40,"-19,80,000.00 ",,,,,,,,,,
DEALBD41,"-19,00,000.00 ",,,,,,,,,,
DEALBD42,"-30,90,000.00 ",,,,,,,,,,
DEALBD43,"-12,838.81 ",,,,,,,,,,
DEALBD44," 10,05,000.00 "," 10,15,050.00 "," 10,33,320.90 "," 10,51,920.68 "," 10,83,478.30 "," 11,37,652.21 "," 12,17,287.87 "," 12,23,374.31 "," 12,35,608.05 "," 12,60,320.21 "," 14,49,368.24 "
DEALBD45," 14,888.06 "," 15,036.94 "," 15,412.86 "," 15,798.19 "," 16,035.16 "," 16,836.92 "," 20,204.30 "," 17,173.65 "," 17,688.86 "," 18,131.09 "," 18,493.71 "
DEALBD46,"-14,029.85 ",,,,,,,,,,
DEALEQ01," 3,000.00 "," 3,030.00 "," 3,090.60 "," 3,059.69 "," 3,151.48 "," 3,277.54 "," 3,179.22 "," 3,242.80 "," 3,567.08 "," 3,602.75 "," 3,674.81 "
DEALEQ02," 3,27,272.73 "," 3,30,545.45 "," 3,37,156.36 "," 3,43,899.49 "," 3,61,094.47 "," 3,50,261.63 "," 3,32,748.55 "," 3,26,093.58 "," 2,77,179.54 "," 2,82,723.13 "," 3,10,995.45 "
DEALEQ03," 12,00,000.00 "," 12,24,000.00 "," 12,60,720.00 "," 12,73,327.20 "," 12,35,127.38 "," 11,73,371.01 "," 11,96,838.44 "," 12,08,806.82 "," 13,90,127.84 "," 12,51,115.06 "," 12,26,092.76 "
DEALEQ04," 62,000.00 "," 63,240.00 "," 65,137.20 "," 65,788.57 "," 63,814.91 "," 60,624.17 "," 61,836.65 "," 62,455.02 "," 71,823.27 "," 64,640.94 "," 63,348.13 "
DEALEQ05," 11,111.11 "," 11,222.22 "," 11,334.44 "," 11,447.79 "," 11,333.31 "," 11,219.98 "," 12,341.98 "," 12,218.56 "," 11,607.63 "," 11,723.70 "," 11,840.94 "
DEALEQ06," 50,000.00 "," 50,500.00 "," 51,510.00 "," 49,964.70 "," 52,462.94 "," 57,709.23 "," 54,823.77 "," 58,661.43 "," 51,622.06 "," 53,170.72 "," 53,702.43 "
DEALEQ07," 1,59,000.00 "," 1,60,590.00 "," 1,63,801.80 "," 1,68,715.85 "," 1,60,280.06 "," 1,44,252.06 "," 1,51,464.66 "," 1,40,862.13 "," 1,57,765.59 "," 1,53,032.62 "," 1,54,562.95 "
DEALEQ08," 12,00,000.00 "," 12,24,000.00 "," 12,60,720.00 "," 12,73,327.20 "," 12,35,127.38 "," 11,73,371.01 "," 11,96,838.44 "," 12,08,806.82 "," 13,90,127.84 "," 12,51,115.06 "," 12,26,092.76 "
DEALEQ09," 29,000.00 "," 29,290.00 "," 29,875.80 "," 29,577.04 "," 30,464.35 "," 31,682.93 "," 30,732.44 "," 31,347.09 "," 34,481.80 "," 34,826.62 "," 35,523.15 "
DEALEQ10," 3,26,000.00 "," 3,29,260.00 "," 3,35,845.20 "," 3,45,920.56 "," 3,28,624.53 "," 2,95,762.08 "," 3,10,550.18 "," 2,88,811.67 "," 3,23,469.07 "," 3,13,764.99 "," 3,16,902.64 "
DEALEQ11," 79,220.78 "," 80,012.99 "," 81,613.25 "," 83,245.51 "," 87,407.79 "," 84,785.55 "," 80,546.28 "," 78,935.35 "," 67,095.05 "," 68,436.95 "," 75,280.64 "
DEALEQ12," 12,40,000.00 "," 12,64,800.00 "," 13,02,744.00 "," 13,15,771.44 "," 12,76,298.30 "," 12,12,483.38 "," 12,36,733.05 "," 12,49,100.38 "," 14,36,465.44 "," 12,92,818.89 "," 12,66,962.52 "
DEALEQ13,"-51,111.11 ",,,,,,,,,,
DEALEQ14," 88,888.89 "," 89,777.78 "," 91,573.33 "," 88,826.13 "," 93,267.44 "," 1,02,594.18 "," 97,464.47 "," 1,04,286.99 "," 91,772.55 "," 94,525.73 "," 95,470.98 "
DEALEQ15," 1,33,333.33 "," 1,36,000.00 "," 1,40,080.00 "," 1,37,278.40 "," 1,33,160.05 "," 1,38,486.45 "," 1,41,256.18 "," 1,55,381.80 "," 1,63,150.89 "," 1,66,413.90 "," 1,68,078.04 "
DEALEQ16," 64,000.00 "," 65,280.00 "," 67,238.40 "," 67,910.78 "," 65,873.46 "," 62,579.79 "," 63,831.38 "," 64,469.70 "," 74,140.15 "," 66,726.14 "," 65,391.61 "
DEALEQ17," 6,40,000.00 "," 6,46,400.00 "," 6,59,328.00 "," 6,79,107.84 "," 6,45,152.45 "," 5,80,637.20 "," 6,09,669.06 "," 5,66,992.23 "," 6,35,031.30 "," 6,15,980.36 "," 6,22,140.16 "
DEALEQ18," 1,32,000.00 "," 1,34,640.00 "," 1,38,679.20 "," 1,40,065.99 "," 1,35,864.01 "," 1,29,070.81 "," 1,31,652.23 "," 1,32,968.75 "," 1,52,914.06 "," 1,37,622.66 "," 1,34,870.20 "
DEALEQ19," 3,06,493.51 "," 3,09,558.44 "," 3,15,749.61 "," 3,22,064.60 "," 3,38,167.83 "," 3,28,022.80 "," 3,11,621.66 "," 3,05,389.22 "," 2,59,580.84 "," 2,64,772.46 "," 2,91,249.70 "
DEALEQ20," 22,222.22 "," 22,444.44 "," 22,668.89 "," 22,895.58 "," 22,666.62 "," 22,439.96 "," 24,683.95 "," 24,437.11 "," 23,215.26 "," 23,447.41 "," 23,681.88 "
DEALEQ21," 47,777.78 "," 48,255.56 "," 49,220.67 "," 47,744.05 "," 50,131.25 "," 55,144.37 "," 52,387.16 "," 56,054.26 "," 49,327.75 "," 50,807.58 "," 51,315.65 "
DEALEQ22," 33,000.00 "," 33,330.00 "," 33,996.60 "," 35,016.50 "," 33,265.67 "," 29,939.11 "," 31,436.06 "," 29,235.54 "," 32,743.80 "," 31,761.49 "," 32,079.10 "
DEALEQ23," 15,151.52 "," 15,454.55 "," 15,609.09 "," 15,765.18 "," 15,765.18 "," 15,765.18 "," 15,607.53 "," 15,295.38 "," 15,754.24 "," 17,329.66 "," 15,596.70 "
DEALEQ24," 77,922.08 "," 78,701.30 "," 80,275.32 "," 81,880.83 "," 85,974.87 "," 83,395.63 "," 79,225.85 "," 77,641.33 "," 65,995.13 "," 67,315.03 "," 74,046.53 "
DEALEQ25," 70,000.00 "," 71,400.00 "," 73,542.00 "," 74,277.42 "," 72,049.10 "," 68,446.64 "," 69,815.58 "," 70,513.73 "," 81,090.79 "," 72,981.71 "," 71,522.08 "
DEALEQ26," 24,444.44 "," 24,688.89 "," 24,935.78 "," 25,185.14 "," 24,933.28 "," 24,683.95 "," 27,152.35 "," 26,880.82 "," 25,536.78 "," 25,792.15 "," 26,050.07 "
DEALEQ27,"-3,20,000.00 ",,,,,,,,,,
DEALEQ28," 93,333.33 "," 94,266.67 "," 96,152.00 "," 93,267.44 "," 97,930.81 "," 1,07,723.89 "," 1,02,337.70 "," 1,09,501.34 "," 96,361.18 "," 99,252.01 "," 1,00,244.53 "
DEALLD01," 2,50,00,000.00 "," 2,49,75,000.00 "," 2,49,37,537.50 "," 2,48,75,193.66 "," 2,48,37,880.87 "," 2,48,00,624.04 "," 2,47,38,622.48 "," 2,47,13,883.86 "," 2,46,76,813.04 "," 2,46,15,121.00 "," 2,43,68,969.79 "
DEALLD02," 17,16,417.91 "," 17,33,582.09 "," 17,59,585.82 "," 17,81,580.64 "," 17,99,396.45 "," 17,76,903.99 "," 18,12,442.07 "," 17,67,131.02 "," 18,20,144.95 "," 20,93,166.70 "," 21,35,030.03 "
DEALLD03," 1,29,87,012.99 "," 1,29,74,025.97 "," 1,29,54,564.94 "," 1,29,22,178.52 "," 1,29,02,795.25 "," 1,28,83,441.06 "," 1,28,51,232.46 "," 1,28,38,381.23 "," 1,28,19,123.66 "," 1,27,87,075.85 "," 1,26,59,205.09 "
DEALLD04," 70,01,321.00 "," 69,94,319.68 "," 70,64,262.88 "," 72,05,548.14 "," 74,93,770.06 "," 75,68,707.76 "," 76,44,394.84 "," 80,26,614.58 "," 77,85,816.15 "," 78,63,674.31 "," 86,50,041.74 "
DEALLD05," 11,50,00,000.00 "," 11,61,50,000.00 "," 11,78,92,250.00 "," 11,93,65,903.13 "," 12,05,59,562.16 "," 11,90,52,567.63 "," 12,14,33,618.98 "," 11,83,97,778.51 "," 12,19,49,711.86 "," 14,02,42,168.64 "," 14,30,47,012.01 "
DEALLD06," 14,17,910.45 "," 14,16,492.54 "," 14,14,367.80 "," 14,10,831.88 "," 14,08,715.63 "," 14,06,602.56 "," 14,03,086.05 "," 14,01,682.97 "," 13,99,580.44 "," 13,96,081.49 "," 13,82,120.67 "
DEALLD07," 2,59,74,025.97 "," 2,59,48,051.95 "," 2,59,09,129.87 "," 2,58,44,357.05 "," 2,58,05,590.51 "," 2,57,66,882.12 "," 2,57,02,464.92 "," 2,56,76,762.45 "," 2,56,38,247.31 "," 2,55,74,151.69 "," 2,53,18,410.18 "
DEALLD08," 62,74,768.82 "," 62,68,494.06 "," 62,59,091.31 "," 62,43,443.59 "," 62,34,078.42 "," 62,24,727.30 "," 62,09,165.48 "," 62,02,956.32 "," 61,93,651.88 "," 61,78,167.76 "," 61,16,386.08 "
DEALLD09," 5,00,00,000.00 "," 4,99,50,000.00 "," 5,04,49,500.00 "," 5,14,58,490.00 "," 5,35,16,829.60 "," 5,40,51,997.90 "," 5,45,92,517.87 "," 5,73,22,143.77 "," 5,56,02,479.46 "," 5,61,58,504.25 "," 6,17,74,354.68 "
DEALLD10," 14,47,761.19 "," 14,46,313.43 "," 14,44,143.96 "," 14,40,533.60 "," 14,38,372.80 "," 14,36,215.24 "," 14,32,624.71 "," 14,31,192.08 "," 14,29,045.29 "," 14,25,472.68 "," 14,11,217.95 "
DEALLD11," 11,68,83,116.88 "," 11,80,51,948.05 "," 11,98,22,727.27 "," 12,13,20,511.36 "," 12,25,33,716.48 "," 12,10,02,045.02 "," 12,34,22,085.92 "," 12,65,07,638.07 "," 13,03,02,867.21 "," 13,22,57,410.22 "," 13,49,02,558.42 "
DEALLD12," 16,51,254.95 "," 16,49,603.70 "," 16,47,129.29 "," 16,43,011.47 "," 16,40,546.95 "," 16,38,086.13 "," 16,33,990.92 "," 16,32,356.93 "," 16,29,908.39 "," 16,25,833.62 "," 16,09,575.28 "
DEALLD13," 9,70,00,000.00 "," 9,69,03,000.00 "," 9,67,57,645.50 "," 9,65,15,751.39 "," 9,63,70,977.76 "," 9,62,26,421.29 "," 9,59,85,855.24 "," 9,58,89,869.38 "," 9,57,46,034.58 "," 9,55,06,669.49 "," 9,45,51,602.80 "
DEALLD14," 1,29,87,012.99 "," 1,29,74,025.97 "," 1,31,03,766.23 "," 1,33,65,841.56 "," 1,39,00,475.22 "," 1,40,39,479.97 "," 1,41,79,874.77 "," 1,48,88,868.51 "," 1,44,42,202.46 "," 1,45,86,624.48 "," 1,60,45,286.93 "
DEALLD15," 9,90,752.97 "," 10,00,660.50 "," 10,15,670.41 "," 10,28,366.29 "," 10,38,649.95 "," 10,25,666.83 "," 10,46,180.16 "," 10,20,025.66 "," 10,50,626.43 "," 12,08,220.39 "," 12,32,384.80 "
DEALLD16," 2,00,00,000.00 "," 1,99,80,000.00 "," 1,99,50,030.00 "," 1,99,00,154.93 "," 1,98,70,304.69 "," 1,98,40,499.24 "," 1,97,90,897.99 "," 1,97,71,107.09 "," 1,97,41,450.43 "," 1,96,92,096.80 "," 1,94,95,175.83 "
DEALLD17," 14,77,611.94 "," 14,76,134.33 "," 14,73,920.13 "," 14,70,235.33 "," 14,68,029.97 "," 14,65,827.93 "," 14,62,163.36 "," 14,60,701.20 "," 14,58,510.14 "," 14,54,863.87 "," 14,40,315.23 "
DEALLD18," 12,98,70,129.87 "," 13,11,68,831.17 "," 13,31,36,363.64 "," 13,48,00,568.18 "," 13,61,48,573.86 "," 13,44,46,716.69 "," 13,71,35,651.02 "," 13,37,07,259.75 "," 13,77,18,477.54 "," 15,83,76,249.17 "," 16,15,43,774.16 "
DEALLD19," 16,51,254.95 "," 16,49,603.70 "," 16,66,099.74 "," 16,99,421.73 "," 17,67,398.60 "," 17,85,072.59 "," 18,02,923.31 "," 18,93,069.48 "," 18,36,277.39 "," 18,54,640.17 "," 20,40,104.18 "
DEALLD20," 2,00,00,000.00 "," 1,99,80,000.00 "," 1,99,50,030.00 "," 1,99,00,154.93 "," 1,98,70,304.69 "," 1,98,40,499.24 "," 1,97,90,897.99 "," 1,97,71,107.09 "," 1,97,41,450.43 "," 1,96,92,096.80 "," 1,94,95,175.83 "
DEALLD21," 7,46,268.66 "," 7,53,731.34 "," 7,65,037.31 "," 7,74,600.28 "," 7,82,346.28 "," 7,72,566.95 "," 7,88,018.29 "," 7,68,317.84 "," 7,91,367.37 "," 9,10,072.48 "," 9,28,273.93 "
DEALLD22," 12,33,76,623.38 "," 12,32,53,246.75 "," 12,30,68,366.88 "," 12,27,60,695.97 "," 12,25,76,554.92 "," 12,23,92,690.09 "," 12,20,86,708.36 "," 12,19,64,621.66 "," 12,17,81,674.72 "," 12,14,77,220.54 "," 12,02,62,448.33 "
DEALLD23," 9,90,00,000.00 "," 9,89,01,000.00 "," 9,87,52,648.50 "," 9,85,05,766.88 "," 9,83,58,008.23 "," 9,82,10,471.22 "," 9,79,64,945.04 "," 9,78,66,980.09 "," 9,77,20,179.62 "," 9,74,75,879.17 "," 9,65,01,120.38 "
DEALLD24," 11,94,029.85 "," 11,92,835.82 "," 12,04,764.18 "," 12,28,859.46 "," 12,78,013.84 "," 12,90,793.98 "," 13,03,701.92 "," 13,68,887.02 "," 13,27,820.40 "," 13,41,098.61 "," 14,75,208.47 "
DEALLD25," 3,89,61,038.96 "," 3,89,22,077.92 "," 3,88,63,694.81 "," 3,87,66,535.57 "," 3,87,08,385.76 "," 3,86,50,323.19 "," 3,85,53,697.38 "," 3,85,15,143.68 "," 3,84,57,370.97 "," 3,83,61,227.54 "," 3,79,77,615.26 "
DEALLD26," 16,51,254.95 "," 16,49,603.70 "," 16,47,129.29 "," 16,43,011.47 "," 16,40,546.95 "," 16,38,086.13 "," 16,33,990.92 "," 16,32,356.93 "," 16,29,908.39 "," 16,25,833.62 "," 16,09,575.28 "
DEALLD27," 8,00,00,000.00 "," 7,99,20,000.00 "," 8,07,19,200.00 "," 8,31,40,776.00 "," 8,56,34,999.28 "," 8,64,91,349.27 "," 8,73,56,262.77 "," 9,17,24,075.90 "," 8,89,72,353.63 "," 8,98,62,077.16 "," 9,88,48,284.88 "
DEALLD28," 7,46,268.66 "," 7,45,522.39 "," 7,52,977.61 "," 7,68,037.16 "," 7,98,758.65 "," 8,06,746.24 "," 8,14,813.70 "," 8,55,554.38 "," 8,29,887.75 "," 8,38,186.63 "," 9,22,005.29 "
DEALIS01," 6,30,00,000.00 "," 6,36,30,000.00 "," 6,49,02,600.00 "," 6,81,47,730.00 "," 7,01,92,161.90 "," 7,44,03,691.61 "," 7,66,35,802.36 "," 8,81,31,172.72 "," 9,16,56,419.63 "," 9,25,72,983.82 "," 9,34,98,713.66 "
DEALIS02," 80,85,000.00 "," 81,65,850.00 "," 83,29,167.00 "," 79,12,708.65 "," 77,54,454.48 "," 79,09,543.57 "," 80,67,734.44 "," 81,48,411.78 "," 84,74,348.25 "," 87,28,578.70 "," 91,65,007.64 "
DEALIS03," 9,45,00,000.00 "," 9,54,45,000.00 "," 9,73,53,900.00 "," 10,22,21,595.00 "," 10,32,43,810.95 "," 11,87,30,382.59 "," 12,34,79,597.90 "," 11,11,31,638.11 "," 10,66,86,372.58 "," 10,88,20,100.03 "," 10,33,79,095.03 "
DEALIS04," 2,62,50,000.00 "," 2,65,12,500.00 "," 2,70,42,750.00 "," 2,83,94,887.50 "," 2,92,46,734.13 "," 3,10,01,538.17 "," 3,19,31,584.32 "," 3,67,21,321.97 "," 3,81,90,174.84 "," 3,85,72,076.59 "," 3,89,57,797.36 "
DEALIS05," 8,00,41,500.00 "," 8,08,41,915.00 "," 8,24,58,753.30 "," 7,83,35,815.64 "," 7,67,69,099.32 "," 7,83,04,481.31 "," 7,98,70,570.93 "," 8,06,69,276.64 "," 8,38,96,047.71 "," 8,64,12,929.14 "," 9,07,33,575.60 "
DEALIS06," 84,00,000.00 "," 84,84,000.00 "," 86,53,680.00 "," 90,86,364.00 "," 93,58,954.92 "," 99,20,492.22 "," 1,02,18,106.98 "," 1,17,50,823.03 "," 1,22,20,855.95 "," 1,23,43,064.51 "," 1,24,66,495.15 "
DEALIS07," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS08," 6,87,22,500.00 "," 6,94,09,725.00 "," 7,07,97,919.50 "," 6,72,58,023.53 "," 6,59,12,863.05 "," 6,72,31,120.32 "," 6,85,75,742.72 "," 6,92,61,500.15 "," 7,20,31,960.16 "," 7,41,92,918.96 "," 7,79,02,564.91 "
DEALIS09," 1,57,50,000.00 "," 1,59,07,500.00 "," 1,62,25,650.00 "," 1,70,36,932.50 "," 1,72,07,301.83 "," 1,97,88,397.10 "," 2,05,79,932.98 "," 1,85,21,939.68 "," 1,77,81,062.10 "," 1,81,36,683.34 "," 1,72,29,849.17 "
DEALIS10," 1,05,00,000.00 "," 1,06,05,000.00 "," 1,08,17,100.00 "," 1,13,57,955.00 "," 1,14,71,534.55 "," 1,31,92,264.73 "," 1,37,19,955.32 "," 1,23,47,959.79 "," 1,18,54,041.40 "," 1,20,91,122.23 "," 1,14,86,566.11 "
DEALIS11," 80,85,000.00 "," 81,65,850.00 "," 83,29,167.00 "," 81,62,583.66 "," 84,07,461.17 "," 71,46,341.99 "," 82,89,756.71 "," 80,41,064.01 "," 77,19,421.45 "," 73,33,450.38 "," 78,46,791.91 "
DEALIS12," 8,92,50,000.00 "," 9,01,42,500.00 "," 9,19,45,350.00 "," 9,65,42,617.50 "," 9,75,08,043.68 "," 11,21,34,250.23 "," 11,66,19,620.24 "," 10,49,57,658.21 "," 10,07,59,351.88 "," 10,27,74,538.92 "," 9,76,35,811.97 "
DEALIS13," 8,92,50,000.00 "," 9,01,42,500.00 "," 9,19,45,350.00 "," 9,65,42,617.50 "," 9,75,08,043.68 "," 11,21,34,250.23 "," 11,66,19,620.24 "," 10,49,57,658.21 "," 10,07,59,351.88 "," 10,27,74,538.92 "," 9,76,35,811.97 "
DEALIS14," 1,21,27,500.00 "," 1,22,48,775.00 "," 1,24,93,750.50 "," 1,22,43,875.49 "," 1,26,11,191.75 "," 1,07,19,512.99 "," 1,24,34,635.07 "," 1,20,61,596.02 "," 1,15,79,132.18 "," 1,10,00,175.57 "," 1,17,70,187.86 "
DEALIS15," 1,57,50,000.00 "," 1,59,07,500.00 "," 1,62,25,650.00 "," 1,70,36,932.50 "," 1,72,07,301.83 "," 1,97,88,397.10 "," 2,05,79,932.98 "," 1,85,21,939.68 "," 1,77,81,062.10 "," 1,81,36,683.34 "," 1,72,29,849.17 "
DEALIS16," 2,10,00,000.00 "," 2,12,10,000.00 "," 2,16,34,200.00 "," 2,27,15,910.00 "," 2,29,43,069.10 "," 2,63,84,529.47 "," 2,74,39,910.64 "," 2,46,95,919.58 "," 2,37,08,082.80 "," 2,41,82,244.45 "," 2,29,73,132.23 "
