Deal ID,Folder,Instrument,Country,Region,Counterparty,Rating,Sector_ID,Allocation,VaR,Currency
DEALBD26,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00",,USD
DEALBD27,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","2,00,00,000.00",USD
DEALBD28,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00",,USD
DEALBD29,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00",,USD
DEALBD30,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","8,00,00,000.00",CAD
DEALBD31,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","7,00,00,000.00",INR
DEALBD32,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00",,USD
DEALBD33,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","8,00,00,000.00",INR
DEALBD34,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD35,Fold_BOND9,BONDS,United States,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","8,00,00,000.00",CAD
DEALBD36,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","8,50,00,000.00",CAD
DEALBD37,Fold_BOND9,BONDS,United States,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00",,CAD
DEALBD38,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00",,CAD
DEALBD39,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","8,50,00,000.00",CAD
DEALBD40,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00",,USD
DEALBD41,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00",,USD
DEALBD42,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00",,USD
DEALBD43,Fold_BOND10,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00",,INR
DEALBD44,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD45,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","8,00,00,000.00",INR
DEALBD46,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00",,INR
DEALEQ01,Fold_EQUITY1,EQUITY,United States,NAMR,Calimax,BB,SEC_3,"1,00,00,00,000.00",500,USD
DEALEQ02,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5,"1,00,00,00,000.00","1,00,000.00",GBP
DEALEQ03,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,00,000.00",USD
DEALEQ04,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,00,000.00",USD
DEALEQ05,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6,"1,00,00,00,000.00","5,000.00",EUR
DEALEQ06,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALEQ07,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7,"1,00,00,00,000.00","50,000.00",USD
DEALEQ08,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","5,00,000.00",USD
DEALEQ09,Fold_EQUITY10,EQUITY,France,EURO,Capgemini,BBB,SEC_8,"1,00,00,00,000.00","10,000.00",EUR
DEALEQ10,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7,"1,00,00,00,000.00","1,00,000.00",USD
DEALEQ11,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5,"1,00,00,00,000.00","1,00,000.00",GBP
DEALEQ12,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,00,000.00",USD
DEALEQ13,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6,"1,00,00,00,000.00",,EUR
DEALEQ14,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7,"1,00,00,00,000.00","50,000.00",EUR
DEALEQ15,Fold_EQUITY5,EQUITY,Germany,EURO,Deutsche Bank,AAA,SEC_7,"1,00,00,00,000.00","50,000.00",EUR
DEALEQ16,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,00,000.00",USD
DEALEQ17,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7,"1,00,00,00,000.00","5,00,000.00",USD
DEALEQ18,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,000.00",USD
DEALEQ19,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5,"1,00,00,00,000.00","1,00,000.00",GBP
DEALEQ20,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6,"1,00,00,00,000.00","5,000.00",EUR
DEALEQ21,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALEQ22,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7,"1,00,00,00,000.00","10,000.00",USD
DEALEQ23,Fold_EQUITY2,EQUITY,Canada,NAMR,Blackberry,B,SEC_8,"1,00,00,00,000.00","5,000.00",CAD
DEALEQ24,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5,"1,00,00,00,000.00","50,000.00",GBP
DEALEQ25,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00","50,000.00",USD
DEALEQ26,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6,"1,00,00,00,000.00","5,000.00",EUR
DEALEQ27,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3,"1,00,00,00,000.00",,USD
DEALEQ28,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7,"1,00,00,00,000.00","50,000.00",EUR
DEALFS01,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS02,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS03,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS04,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS05,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS06,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS07,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS08,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS09,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS10,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","1,000.00",EUR
DEALFS11,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS12,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","5,000.00",GBP
DEALFS13,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","5,000.00",GBP
DEALFS14,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS15,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS16,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS17,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","5,000.00",GBP
DEALFS18,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","5,000.00",GBP
DEALFS19,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS20,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS21,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS22,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS23,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","50,000.00",GBP
DEALFS24,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS25,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS26,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS27,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS28,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","50,000.00",GBP
DEALFS29,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS30,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS31,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","1,000.00",USD
DEALFS32,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS33,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","50,000.00",GBP
DEALFS34,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","1,000.00",USD
DEALFS35,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS36,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","50,000.00",GBP
DEALFS37,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS38,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","50,000.00",GBP
DEALFS39,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALFS40,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","5,000.00",GBP
DEALFS41,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS42,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS43,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS44,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS45,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","5,000.00",EUR
DEALFS46,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9,"1,00,00,00,000.00","10,000.00",GBP
DEALFS47,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7,"1,00,00,00,000.00","5,000.00",USD
DEALFS48,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7,"1,00,00,00,000.00","10,000.00",EUR
DEALIS01,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","50,00,000.00",USD
DEALIS02,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","10,00,000.00",GBP
DEALIS03,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","50,00,000.00",USD
DEALIS04,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","10,00,000.00",USD
DEALIS05,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","1,00,00,000.00",GBP
DEALIS06,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS07,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS08,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","1,00,00,000.00",GBP
DEALIS09,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS10,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS11,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","10,00,000.00",GBP
DEALIS12,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","50,00,000.00",USD
DEALIS13,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","50,00,000.00",USD
DEALIS14,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALIS15,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS16,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS17,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","1,00,00,000.00",GBP
DEALIS18,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS19,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS20,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","10,00,000.00",GBP
DEALIS21,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS22,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS23,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALIS24,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS25,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS26,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALIS27,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS28,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6,"1,00,00,00,000.00","5,00,000.00",USD
DEALIS29,Fold_SWAP3,IRS,United Kingdom,EURO,ING UK,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALLD01,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD02,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","50,000.00",INR
DEALLD03,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","10,00,000.00",GBP
DEALLD04,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","5,00,000.00",ARS
DEALLD05,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD06,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","1,00,000.00",INR
DEALLD07,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALLD08,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","5,00,000.00",ARS
DEALLD09,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD10,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","1,00,000.00",INR
DEALLD11,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","1,00,00,000.00",GBP
DEALLD12,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","1,00,000.00",ARS
DEALLD13,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","1,00,00,000.00",USD
DEALLD14,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","5,00,000.00",GBP
DEALLD15,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","50,000.00",ARS
DEALLD16,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD17,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","1,00,000.00",INR
DEALLD18,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALLD19,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","50,000.00",ARS
DEALLD20,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD21,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","50,000.00",INR
DEALLD22,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","1,00,00,000.00",GBP
DEALLD23,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","1,00,00,000.00",USD
DEALLD24,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","50,000.00",INR
DEALLD25,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7,"1,00,00,00,000.00","50,00,000.00",GBP
DEALLD26,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3,"1,00,00,00,000.00","1,00,000.00",ARS
DEALLD27,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5,"1,00,00,00,000.00","50,00,000.00",USD
DEALLD28,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1,"1,00,00,00,000.00","50,000.00",INR
