Deal ID,Folder,Instrument,Country,Region,Counterparty,Rating,Sector_ID,Allocation
DEALBD45,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD46,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALIS02,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS05,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS08,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS11,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS14,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS17,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS20,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS23,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS26,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALIS29,Fold_SWAP3,IRS,,,ING UK,,," 1,00,00,00,000.00 "
DEALFS01,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS05,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS11,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS14,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS15,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS19,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS21,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS24,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS29,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS30,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS31,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS34,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS37,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS41,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS44,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS47,Fold_FXSWAPS1,FXS,United States,NAMR,J.P. Morgan Chase,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD02,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD06,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD10,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD17,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD21,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD24,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALLD28,Fold_MM2,LD,India,APAC,Reliance,AA,SEC_1," 1,00,00,00,000.00 "
DEALEQ02,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5," 1,00,00,00,000.00 "
DEALEQ11,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5," 1,00,00,00,000.00 "
DEALEQ19,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5," 1,00,00,00,000.00 "
DEALEQ24,Fold_EQUITY3,EQUITY,United Kingdom,EURO,Reuters,AAA,SEC_5," 1,00,00,00,000.00 "
DEALBD04,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD05,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD06,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD11,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD14,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD16,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD17,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD20,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD25,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD30,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD35,Fold_BOND9,BONDS,United States,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD36,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD37,Fold_BOND9,BONDS,United States,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD38,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALBD39,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7," 1,00,00,00,000.00 "
DEALFS02,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS06,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS07,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS09,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS10,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS16,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS20,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS22,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS25,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS27,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS32,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS35,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS39,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS42,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS45,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALFS48,Fold_FXSWAPS2,FXS,France,EURO,Societe Generale,AA,SEC_7," 1,00,00,00,000.00 "
DEALBD01,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD02,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD03,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD09,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD10,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD22,Fold_BOND8,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD24,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD26,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD27,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD28,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD29,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD32,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALBD42,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11," 1,00,00,00,000.00 "
DEALFS03,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS04,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS08,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS12,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS13,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS17,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS18,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS23,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS26,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS28,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS33,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS36,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS38,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS40,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS43,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALFS46,Fold_FXSWAPS4,FXS,United Kingdom,EURO,Vita ,CCC,SEC_9," 1,00,00,00,000.00 "
DEALLD01,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD05,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD09,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD13,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD16,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD20,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD23,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
DEALLD27,Fold_MM1,LD,United States,NAMR,Wal-Mart Stores,A,SEC_5," 1,00,00,00,000.00 "
